42
Symbol,Volume
WEC,9005816.0
WFC,74785187.0
WELL,14786769.0
WST,3346703.0
WDC,54240092.0
WY,20857763.0
WMB,38099727.0
WTW,2828862.0
WYNN,11479570.0
XEL,22843565.0
XYL,7236510.0
YUM,9684105.0
